Last Check: 2026-02-22 15:49:01
Found Alive: 2926
Status: Active (Mega Pulse)[2026-02-22 17:51:59] Found: 3563 | Skipped: 6013 | Cycle: Active
[2026-02-22 17:56:50] Found: 3683 | Skipped: 6043 | Cycle: Active
[2026-02-22 18:14:58] Found: 3694 | Skipped: 6037 | Cycle: Active
[2026-02-22 18:22:37] Found: 3695 | Skipped: 6025 | Cycle: Active
[2026-02-22 18:24:51] Найдено: 3695 | Отфильтровано (кэш): 6013
[2026-02-22 18:32:35] Найдено: 3700 | Отфильтровано (кэш): 5987
[2026-02-22 18:36:32] Найдено: 3696 | Отфильтровано (кэш): 5990
[2026-02-22 18:50:37] Живых: 3700 | Мертвых: 5798 | Скипнуто кэшем: 4614
[2026-02-22 18:56:06] Живых: 3687 | Мертвых: 5829 | Кэш: 4639 | DNS_Fail: 3343 | Wrong_Geo: 23250
[2026-02-24 10:39:46] Alive: 586 | Dead: 0 | Cache_Hit: 2849 | DNS_Fail: 8 | Wrong_Geo: 2909
[2026-02-24 11:34:30] Alive: 586 | Dead: 0 | Cache_Hit: 2849 | DNS_Fail: 8 | Wrong_Geo: 2909
[2026-02-24 12:43:28] Alive: 586 | Dead: 0 | Cache_Hit: 2849 | DNS_Fail: 8 | Wrong_Geo: 2909
[2026-02-24 14:06:00] Alive: 586 | Dead: 0 | Cache_Hit: 2849 | DNS_Fail: 8 | Wrong_Geo: 2909
[2026-02-24 15:48:50] Alive: 586 | Dead: 0 | Cache_Hit: 2849 | DNS_Fail: 8 | Wrong_Geo: 2909
[2026-02-24 16:57:29] Alive: 586 | Dead: 0 | Cache_Hit: 2849 | DNS_Fail: 8 | Wrong_Geo: 2909
[2026-02-24 17:53:44] Alive: 586 | Dead: 0 | Cache_Hit: 2849 | DNS_Fail: 9 | Wrong_Geo: 2908
[2026-02-24 18:50:55] Alive: 586 | Dead: 0 | Cache_Hit: 2849 | DNS_Fail: 9 | Wrong_Geo: 2908
[2026-02-24 19:44:31] Alive: 472 | Dead: 0 | Cache_Hit: 2575 | DNS_Fail: 8 | Wrong_Geo: 2722
[2026-02-24 20:26:05] Alive: 472 | Dead: 0 | Cache_Hit: 2585 | DNS_Fail: 8 | Wrong_Geo: 2722
[2026-02-24 21:26:57] Alive: 472 | Dead: 0 | Cache_Hit: 2585 | DNS_Fail: 8 | Wrong_Geo: 2722
[2026-02-24 22:24:48] Alive: 472 | Dead: 0 | Cache_Hit: 2585 | DNS_Fail: 8 | Wrong_Geo: 2722
[2026-02-24 23:23:35] Alive: 472 | Dead: 0 | Cache_Hit: 2585 | DNS_Fail: 8 | Wrong_Geo: 2722
[2026-02-25 01:22:43] Alive: 472 | Dead: 0 | Cache_Hit: 2585 | DNS_Fail: 9 | Wrong_Geo: 2721
[2026-02-25 04:12:37] Alive: 474 | Dead: 1 | Cache_Hit: 2556 | DNS_Fail: 8 | Wrong_Geo: 2726
[2026-02-25 05:55:35] Alive: 479 | Dead: 0 | Cache_Hit: 2580 | DNS_Fail: 8 | Wrong_Geo: 2706
[2026-02-25 06:53:30] Alive: 479 | Dead: 0 | Cache_Hit: 2588 | DNS_Fail: 8 | Wrong_Geo: 2706
[2026-02-25 07:47:00] Alive: 471 | Dead: 0 | Cache_Hit: 2575 | DNS_Fail: 8 | Wrong_Geo: 2677
[2026-02-25 08:38:35] Alive: 471 | Dead: 0 | Cache_Hit: 2582 | DNS_Fail: 8 | Wrong_Geo: 2677
[2026-02-25 09:44:13] Alive: 471 | Dead: 0 | Cache_Hit: 2582 | DNS_Fail: 8 | Wrong_Geo: 2677
[2026-02-25 10:41:56] Alive: 465 | Dead: 0 | Cache_Hit: 2567 | DNS_Fail: 8 | Wrong_Geo: 2752
[2026-02-25 11:34:58] Alive: 465 | Dead: 0 | Cache_Hit: 2570 | DNS_Fail: 8 | Wrong_Geo: 2752
[2026-02-25 12:43:15] Alive: 465 | Dead: 0 | Cache_Hit: 2570 | DNS_Fail: 8 | Wrong_Geo: 2752
[2026-02-25 14:04:45] Alive: 443 | Dead: 8 | Cache_Hit: 2514 | DNS_Fail: 8 | Wrong_Geo: 2756
[2026-02-25 15:54:12] Alive: 443 | Dead: 0 | Cache_Hit: 2525 | DNS_Fail: 8 | Wrong_Geo: 2756
[2026-02-25 17:00:33] Alive: 443 | Dead: 0 | Cache_Hit: 2525 | DNS_Fail: 8 | Wrong_Geo: 2756
[2026-02-25 17:59:53] Alive: 450 | Dead: 0 | Cache_Hit: 2522 | DNS_Fail: 8 | Wrong_Geo: 2703
